Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_13_8_3_all-3,-2.91464,2.47637,1.10462,-2.5906,1.67095,-0.949469,-1.23843,-1.20027,-1.32245
UID_13_9_1_all-8,-2.77693,1.64132,0.744606,-1.81296,2.73225,-0.962101,-0.0423108,-0.0650596,0.976045
UID_13_9_2_all-9,0.899801,0.511638,-0.123623,-0.726212,-0.0272309,0.23298,-0.233585,-0.0533381,-0.192569
UID_13_9_3_all-2,0.591761,0.187947,-0.19262,-0.656436,-0.304517,-0.370099,0.264906,-0.320975,-0.619159
UID_18_10_1_all-4,0.00894269,-1.16658,0.0279394,0.21655,0.303863,-0.135867,0.0455706,-0.133905,0.0416613
UID_18_10_2_all-16,-0.523346,4.05495,0.677014,5.31962,-0.140032,-2.50539,-1.87592,-4.0377,-0.970918
UID_18_13_1_all-5,0.457071,-0.525423,0.0537971,-0.508903,-0.117194,0.0410544,0.0925078,-0.272317,-0.0358181
UID_18_14_1_all-9,0.835947,0.515533,-0.123489,-0.665013,-0.103522,0.289777,-0.280264,0.286532,-0.2605
UID_18_17_1_all,-2.39936,1.90745,0.121258,-0.89502,2.92574,-1.25215,0.987596,-0.458584,1.82931
UID_18_17_2_all-2,0.750298,0.0874497,-0.0290034,-0.752162,-0.126706,0.223221,0.0173966,-0.0585364,0.111989
UID_18_18_1_all-3,-2.07131,-0.0790021,0.0125763,1.19435,3.77857,-2.00157,0.983965,-0.31001,1.17088
UID_18_18_2_all-4,0.410762,-0.416134,-0.0923676,-0.558386,-0.114458,-0.0759348,-0.158424,-0.312016,-0.370261
UID_18_19_1_all-8,0.175628,-0.803079,-0.0465668,-0.553248,-0.441203,0.403132,-0.254632,0.150753,0.175583
UID_18_19_2_all-8,0.374157,0.528157,0.386933,0.76919,-0.456193,0.56912,-1.46262,0.228325,0.931012
UID_18_19_3_all-16,0.720271,0.838499,-0.465558,-0.430179,0.864217,-0.0772021,-0.253134,-0.296412,-0.476824
UID_18_19_4_all-10,0.247754,2.75935,0.583476,3.18413,0.635312,0.490216,-1.69471,1.40131,1.57467
UID_18_19_5_all-13,0.275016,1.96132,0.114605,2.69855,0.583463,2.36024,-2.2644,1.65324,0.215889
UID_18_1_1_all-8,-2.82298,1.67253,-0.628711,-1.68325,-0.146265,-0.189577,-0.459131,-1.5098,0.362495
UID_18_20_1_all-8,0.738887,2.29064,-1.49604,1.60878,1.16193,-0.933623,1.90385,0.802322,-0.619127
UID_18_20_2_all-17,0.672477,-0.116906,0.0364028,-0.911209,-0.456675,0.395394,-0.153679,-0.0234661,0.143951
UID_18_20_3_all-18,-1.83474,0.895239,4.19065,-1.45881,0.208019,1.04902,-1.64546,-0.082866,-1.21404
UID_18_20_4_all-12,0.436429,-0.0757536,-0.305845,-0.0358613,0.198013,-0.0292856,0.216754,0.210213,-0.1889
UID_18_20_5_all-18,-2.41697,1.14799,3.64925,2.08592,1.12055,3.39649,2.00542,-0.829523,-2.29671
UID_18_21_1_all-8,-2.85689,1.45549,-0.286271,-1.42942,1.40431,1.04407,0.412402,-0.92005,-0.47623
UID_18_22_1_all-5,0.757005,0.0574237,0.0310491,-0.804458,-0.227747,0.185832,0.059147,-0.272305,0.0387628
UID_18_22_2_all-9,-2.44139,0.78269,-1.63008,-0.548639,1.15662,-1.09275,0.143455,-0.309531,-0.462663
UID_18_23_1_all-5,-3.1169,1.5545,1.01055,-2.76386,-0.240553,1.17173,0.357212,0.402801,0.586843
UID_18_23_2_all-6,0.784703,0.147329,0.0169711,-0.796384,-0.173296,0.138533,0.0240797,-0.151305,0.0647985
UID_18_24_1_all-4,0.371877,-0.423371,-0.0595715,-0.128185,0.331873,-0.135121,0.26095,-0.185696,0.0785595
UID_18_24_2_all-4,0.353221,-0.717549,0.0983027,-0.428216,-0.0936683,0.0190677,-0.088056,-0.3685,-0.00629278
UID_18_24_3_all-14,0.145723,2.34951,1.2693,4.65423,1.51606,-0.365153,3.96879,-6.47629,1.05473
UID_18_25_1_all-5,0.567139,0.00671308,-0.0310314,-0.408093,-0.0137278,0.0534026,0.401614,-0.0250933,0.177593
UID_18_26_1_all-5,-3.06989,1.59879,1.03844,-2.63327,0.695724,-0.00249888,0.654624,-0.155691,1.2758
UID_18_26_2_all-2,0.525867,-0.193583,0.0263321,-0.473003,-0.0781875,0.236302,-0.208665,0.000839516,0.141555
UID_18_28_1_all-7,-2.60015,1.7786,-1.32446,-0.371571,2.39861,-0.775434,-0.182414,-2.53868,3.78505
UID_18_29_1_all-25,0.410657,-0.235089,-0.195748,-0.402569,0.0433952,0.00196709,0.0782402,-0.081954,-0.249952
UID_18_29_2_all-5,0.637399,0.467841,-0.265026,0.0545903,0.120344,-0.0557054,0.158433,0.844425,-0.0854546
UID_18_30_1_all-7,0.688736,0.0923909,-0.105174,-0.986584,-0.619231,0.457537,-0.255722,0.216128,0.146511
UID_18_30_2_all-4,0.458139,-0.41591,0.217052,-0.397178,-0.390188,-0.345282,0.58702,-0.0904677,0.333247
UID_18_31_1_all-2,0.483108,0.0841507,-0.236595,-0.177667,0.501466,-0.203017,0.318314,0.0257452,-0.015753
UID_18_31_2_all-3,0.592148,-0.184541,0.0267921,-0.462443,-0.0457475,-0.00218069,0.0460671,-0.215079,-0.101327
UID_18_32_1_all-24,0.793617,0.478195,-0.18033,-0.348745,-0.325124,0.0917433,0.142035,0.65685,-0.289496
UID_18_32_2_all-19,0.551391,0.189132,0.470859,-0.238443,-0.452368,0.0293453,-0.256407,-2.05859,-0.894213
UID_18_32_3_all-10,0.452865,-0.298692,-0.0019628,-0.570082,-0.0619065,0.109529,0.33198,0.160275,0.45338
UID_18_32_4_all-12,0.418223,-0.496441,0.0386701,-0.456369,-0.221163,-0.221587,0.270893,-0.395174,-0.164462
UID_18_32_5_all-14,-2.45345,0.341948,-2.62773,0.69482,-0.492385,3.40934,2.28684,-1.33762,0.759944
UID_18_33_1_all-9,-2.05325,-0.191481,-4.3681,1.66332,-2.10765,1.95096,-0.179865,1.41384,-3.51661
UID_18_33_2_all-18,0.0539295,1.74505,0.467971,2.805,-0.023224,1.84408,-0.940939,0.994458,0.868554
UID_18_33_3_all-16,0.466349,-0.316934,0.0206212,-0.389374,-0.0203758,0.116569,-0.203416,-0.173346,0.0604291
UID_18_33_4_all-10,0.557996,-0.214335,-0.0464733,-0.533196,-0.165151,0.0994873,-0.0837395,-0.0219826,-0.0401957
UID_18_34_1_all-18,0.691665,0.517001,-0.186101,-0.662102,-0.231086,0.170999,0.299259,-0.0432992,-0.231965
UID_18_34_2_all-7,-2.0356,-0.0626026,-4.61788,1.78359,-0.948251,1.25287,0.484548,0.103133,-2.33472
UID_18_35_1_all-4,0.400338,-0.687745,0.12344,-0.520418,-0.246444,0.0411022,0.145689,-0.156145,0.201541
UID_18_35_2_all-5,0.451684,-0.508772,0.0600254,-0.723375,-0.528547,0.295614,-0.263941,-0.0973952,-0.00399807
UID_18_35_3_all-4,0.339833,-0.669483,-0.0133152,-0.340278,-0.02686,-0.0169092,0.236588,-0.237089,0.113227
UID_18_35_4_all-17,0.517747,-0.311309,-0.0584013,-0.576375,-0.219042,0.15715,0.0724464,-0.128352,-0.13987
UID_18_35_5_all-13,0.44098,-0.589896,0.06231,-0.447088,-0.0706249,0.297341,-0.110723,-0.172756,-0.011204
UID_18_35_6_all-16,0.51623,-0.100317,-0.261723,-0.304133,0.328943,-0.0912117,0.303657,-0.313368,-0.102424
UID_18_36_1_all-3,0.221045,-1.0282,0.103608,-0.390146,-0.233693,0.200665,0.255351,0.0505784,0.466139
UID_18_36_2_all-10,0.475912,-0.439733,0.0530483,-0.421049,-0.0880951,0.233864,0.0256654,-0.037625,0.198919
UID_18_36_3_all-10,0.373016,-0.280696,-0.233226,-0.205634,0.196783,-0.129699,0.278294,-0.39315,-0.482757
UID_18_37_1_all-3,-0.317768,0.085053,1.58509,1.78389,-2.48047,-1.0222,-1.04299,-1.63765,-0.634123
UID_18_37_2_all-4,0.350303,-0.582579,0.0117087,-0.289144,-0.0430742,0.133525,0.0841508,-0.173575,0.0607327
UID_18_37_3_all-4,0.354407,-0.650296,-0.0382334,-0.331936,0.0747172,0.0784447,0.0634475,0.00165022,0.105297
UID_18_38_1_all-9,0.620613,-0.0277709,-0.0737047,-0.599748,-0.0811499,-0.0370942,0.256705,-0.182049,-0.0287914
UID_18_38_2_all-2,0.210897,-0.791231,0.118399,-0.431527,-0.584153,-0.439167,0.237497,0.234646,-0.133292
UID_18_38_3_all-4,0.348048,-0.635011,-0.0281768,-0.29883,0.0859451,0.169456,0.0627981,-0.104449,0.149008
UID_18_38_4_all-5,0.335036,-0.623279,-0.00729848,-0.271592,0.0104296,0.0590754,0.086781,-0.136584,0.054514
UID_18_4_1_all-8,-2.67281,1.53934,-1.40606,-1.57103,-0.860666,0.622218,0.766256,-0.279839,-1.2508
UID_18_4_2_all-9,-1.9337,-0.925709,0.517208,1.91523,4.03741,-2.25087,0.348396,-0.289241,0.367867
UID_18_5_1_all-10,-1.88827,-0.550575,-2.92176,-0.613205,-1.43089,-1.32192,-2.18404,3.34865,-3.44889
UID_18_5_2_all-13,0.817196,0.2786,-0.0953371,-0.788714,-0.16642,0.0433073,0.114346,-0.178606,-0.262225
UID_18_5_3_all-15,-2.70334,-0.169267,-4.05972,2.02912,-1.5675,-1.84958,-2.47424,-1.58236,3.63546
UID_18_6_1_all-18,-2.50312,1.23373,-2.03622,-0.86157,-0.0107058,-0.352299,2.31086,0.82576,0.701126
UID_18_8_1_all-27,0.467122,-0.359755,-0.10797,-0.255989,0.0511496,-0.143857,0.152639,-0.0374862,-0.1052
UID_18_8_2_all-15,0.598155,0.635001,0.22508,-0.495884,-0.568233,0.123966,-1.24788,-1.28956,-0.626208
UID_18_8_3_all-23,0.593539,-0.264139,0.0688064,-0.663373,-0.334089,0.21179,0.0794711,-0.0241752,0.216028
UID_18_9_1_all-10,-0.0781246,3.03772,0.91446,5.24935,-1.03046,-2.06738,-0.942771,-0.638714,2.02639
UID_21_10_1_all-15,0.866348,0.591973,-0.0954666,-0.98832,-0.24725,0.215556,0.0517732,-0.224179,0.242329
UID_21_10_2_all-10,0.721437,0.158006,-0.0755957,-0.477572,0.0715913,0.4508,-0.174847,0.114011,-0.00801173
UID_21_10_3_all-4,0.268985,-0.766668,-0.0459267,-0.188822,0.012765,0.0385186,0.356148,0.0843083,0.0812529
UID_21_10_4_all-16,0.747536,0.345812,-0.0760674,-0.337715,0.365706,-0.0391552,0.170035,0.607566,0.226238
UID_21_10_5_all-10,0.38574,-0.700274,0.0846456,-0.443281,-0.136837,0.0120615,0.230932,-0.183331,0.227292
UID_21_10_6_all-7,-2.52455,0.586393,-2.1463,-1.22408,-2.79284,-2.78039,-0.453538,-0.417143,-0.731328
UID_21_11_1_all-16,-2.34957,0.336979,-2.62973,-1.30188,-1.4397,-2.67029,-2.12975,1.37307,-1.38438
UID_21_11_2_all-13,0.385836,-0.355835,0.0644126,-0.295112,-0.604419,-0.0122464,-0.189175,0.814787,0.138798
UID_21_12_1_all-12,-2.56323,1.21622,-1.53154,-0.780025,-0.238447,-0.043339,-1.62968,-0.475126,-1.21241
UID_21_12_2_all-11,-2.51708,0.315984,-2.8257,-0.400761,-1.25407,-1.10593,-0.305044,1.90024,-1.65256
UID_21_13_1_all-18,0.565558,0.705991,-0.249967,-0.875676,-1.06357,-0.158034,-0.589489,-0.962713,-1.53532
UID_21_13_2_all-17,0.547172,-0.108318,0.0242989,-0.297085,-0.0242875,0.364126,-0.0879358,0.42208,0.143932
UID_21_13_3_all-9,0.289168,-0.536596,0.0243673,0.0215844,0.133193,0.139101,-0.15814,0.271919,0.13689
UID_21_13_4_all-12,-2.03731,-1.42884,-4.91376,2.78148,-2.40184,0.534316,4.0886,-1.17708,-2.86294
UID_21_13_5_all-26,0.595499,0.0289524,-0.18962,-0.432267,-0.0699666,-0.36263,0.0188583,-0.145048,-0.786013
UID_21_14_1_all-15,0.139223,-1.18039,0.0709984,-0.398236,-0.256501,-0.0643956,-0.169212,0.158984,-0.135843
UID_21_14_2_all-14,0.558358,-0.0789176,0.0597835,-0.257276,-0.131558,-0.0727878,0.243961,-0.00288256,0.231882
UID_21_14_3_all-16,-0.0131817,-1.35843,0.104279,-0.00966844,0.0296729,-0.153183,0.0865183,-0.335574,-0.0283667
UID_21_14_4_all-13,0.35929,-0.62962,0.00276666,-0.345277,0.063494,-0.054586,0.0591659,-0.509336,-0.183237
UID_21_14_5_all-12,0.216811,-0.690666,-0.11182,0.088098,0.33459,-0.240037,0.267351,-0.0874602,-0.0901
UID_21_15_1_all-14,0.434806,-0.483813,-0.0327512,-0.568166,-0.397274,0.333302,0.0856493,0.293814,0.239724
UID_21_15_2_all-11,0.290998,-0.546258,-0.119491,-0.199306,0.216998,-0.146949,0.325557,-0.186335,-0.139975
UID_21_16_1_all-20,-0.0483606,1.89758,1.67489,1.25196,-6.05518,-2.04764,3.7211,4.10844,-0.846038
UID_21_16_2_all-15,0.0356874,2.92928,0.0579649,5.26212,0.409475,0.733758,1.16866,2.02793,-0.0354769
UID_21_16_3_all-15,0.534923,-0.20269,0.0591942,-0.291511,-0.0210043,-0.21325,0.186041,0.0134069,-0.117234
UID_21_18_1_all-15,0.68861,-0.0151398,-0.0960609,-0.792326,-0.267478,-0.0584341,0.211455,-0.079816,-0.177965
UID_21_18_2_all-6,-2.9824,0.621636,0.257104,-1.90826,0.254217,0.6008,-0.841189,-1.73488,1.04256
UID_21_19_1_all-13,-2.21149,0.365245,-2.28539,0.140796,1.79193,-0.646914,-2.02701,-1.97867,0.522365
UID_21_1_1_all-15,-2.80429,1.00801,-2.21328,-0.953281,0.759461,-1.93617,-1.5691,-0.379059,-1.73641
UID_21_1_2_all-10,-2.48692,1.20954,-3.18468,0.334281,2.40338,5.86478,3.23394,-0.261853,-4.02727
UID_21_1_3_all-8,-2.92612,1.2985,0.21933,-1.85944,1.24083,-0.288358,-1.07486,-1.13157,0.22847
UID_21_20_1_all-27,0.592097,-0.325394,0.0200721,-0.802475,-0.433028,0.283073,0.138025,-0.120585,0.088598
UID_21_20_2_all-11,0.169629,-0.909253,-0.0383435,-0.0886083,0.197409,-0.105645,0.258214,-0.225991,-0.0393623
UID_21_21_1_all-24,0.172643,-0.771499,-0.113543,-0.0670147,0.292012,-0.0137136,0.280985,-0.167997,0.159016
UID_21_22_1_all-13,0.547006,0.565478,0.304912,-0.494536,-0.327772,0.522286,-0.97412,0.187179,0.667079
UID_21_22_2_all-9,0.254913,-0.516156,-0.026754,0.266542,0.67538,-0.326438,0.0796537,0.535336,0.0239836
UID_21_22_3_all-25,0.661618,-0.0241532,-0.101371,-0.776246,-0.280784,0.221332,-0.394941,-0.542919,-0.389872
UID_21_22_4_all-13,0.427794,-0.027147,-0.0151294,-0.119654,0.0654258,-0.109366,-0.121094,-0.142619,0.225341
UID_21_24_1_all-17,-0.257365,1.08118,2.26506,-0.281647,-2.36217,-0.740099,-0.926674,0.00984807,2.51709
UID_21_25_1_all-3,0.215243,-0.761152,-0.0145524,-0.135558,-0.0461678,-0.223774,0.314836,0.0403152,-0.182872
UID_21_28_1_all-24,0.465089,1.75657,-0.315875,1.78894,-0.30023,1.71876,0.385341,-2.08415,-3.87645
UID_21_29_1_all-15,-1.98704,-0.198794,-2.69748,0.473102,4.56218,1.6721,-1.49574,1.03909,-1.31641
UID_21_2_1_all-3,-3.06968,1.6809,1.14728,-3.20099,-0.246412,0.606773,-0.37629,-0.194936,-0.281648
UID_21_30_1_all,-2.98336,1.6174,-0.418016,-2.08719,0.824462,-1.17917,-0.598191,0.0814785,3.03898
UID_21_32_1_all-19,0.768993,0.609268,-0.0622003,-0.803875,-0.713302,-0.575679,0.375382,0.0392665,-0.687116
UID_21_32_2_all-4,0.160205,-0.784066,-0.0974556,-0.23435,-0.134081,-0.190997,0.0883516,-0.20341,-0.408046
UID_21_32_3_all-10,0.612005,-0.238371,0.133719,-0.573172,-0.154354,-0.0268126,0.0254303,-0.331964,0.0383127
UID_21_33_1_all-17,0.868468,0.857036,-0.291675,-0.482282,-0.00851534,0.0196752,0.142782,0.528026,0.0543704
